Application mode,Course,Previous qualification,Nacionality,Mother's occupation,Father's occupation,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Target
1,17,1,1,4,10,0,0,1,1,0,34,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,Graduate
12,1,1,1,10,7,0,1,0,1,0,37,0,7,7,0,0,0,0,7,7,1,10,0,8.9,Dropout
12,7,8,1,1,1,0,0,1,1,0,43,0,5,0,0,0,0,0,5,0,0,0,0,7.6,Dropout
14,9,1,1,7,7,0,0,1,0,0,55,0,5,10,1,10,0,0,5,8,2,12,2,16.2,Dropout
12,17,1,1,10,4,0,0,1,0,0,39,0,5,8,5,11,0,0,5,5,5,11.6,0,7.6,Graduate
15,8,14,3,4,7,0,1,0,0,0,20,2,6,13,3,11.66666667,0,1,6,11,3,12,0,12.4,Dropout
1,15,1,1,3,3,0,1,1,0,0,18,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,Dropout
1,9,1,1,3,8,0,0,1,0,0,22,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,Graduate
1,12,1,1,3,3,1,0,1,0,0,22,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,Graduate
8,15,1,1,6,6,0,0,0,0,0,20,0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,Dropout
12,17,1,1,10,10,0,0,1,0,0,29,0,5,0,0,0,0,0,5,0,0,0,0,16.2,Dropout
8,17,1,1,5,6,0,0,1,0,0,24,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,7.6,Enrolled
8,10,1,1,10,10,0,0,1,0,0,18,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,11.1,Graduate
8,12,1,1,8,8,0,0,1,0,1,22,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,Graduate
15,3,14,1,10,10,0,0,1,0,1,21,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,12.4,Graduate
